ratheesh, 2, (18, 48, 34) 
ratheesh, 1, (18, 50, 19) 
algods, 2, (18,53,55)
ratheesh, 2, (18, 56, 53) 
karanadesh, 2, (18, 57, 44) 
karanadesh, 1, (18, 58, 0) 
aneesh, 2, (19, 5, 27) 
aneesh, 1, (19, 14, 43) 
algods, 2, (19, 32, 1) 
algods, 2, (19, 38, 29) 
algods, 3, (19, 44, 45) 
algods, 3, (19, 45, 36) 
jacobian, 3, (19, 45, 56) 
karanadesh, 3, (19, 49, 58) 
aneesh, 3, (19, 53, 59) 
ratheesh, 3, (19, 54, 25) 
algods, 1, (19, 54, 33) 
mathionine, 2, (19, 56, 35) 
jacobian, 2, (19, 56, 51) 
algods, 3, (19, 57, 1) 
algods, 1, (19, 59, 25) 
aneesh, 5, (20, 20, 22) 
algods, 5, (20, 22, 55) 
jacobian, 1, (20, 26, 35) 
karanadesh, 5, (20, 29, 5) 
